START YEAR_0,START QUARTER_1,COMPLETION QUARTER_3,V-1_4,V-2_5,V-3_6,V-4_7,V-5_8,V-6_9,V-7_10,V-8_11,V-11_12,V-12_13,V-14_15,V-16_17,V-18_19,V-19_20,V-20_21,V-23_24,V-24_25,V-27_28,V-28_29,V-11.1_31,V-14.1_34,V-16.1_36,V-18.1_38,V-19.1_39,V-20.1_40,V-23.1_43,V-28.1_48,V-11.2_50,V-14.2_53,V-16.2_55,V-18.2_57,V-19.2_58,V-20.2_59,V-23.2_62,V-28.2_67,V-11.3_69,V-14.3_72,V-16.3_74,V-18.3_76,V-19.3_77,V-20.3_78,V-28.3_86,V-11.4_88,V-14.4_91,V-16.4_93,V-18.4_95,V-19.4_96,V-20.4_97
79,3,2,12,1370.0,300.0,109.6,80,476.68,7,640,4691.0,49.1,3.53,2103.5,108.5,5222.8,15,1755.0,8231.0,2556.96,20703.5,4072.0,3.39,2034.8,54.25,2611.4,15,1755.0,10351.75,3670.0,3.25,1979.0,258.2,9452.7,15,1755.0,40234.0,2964.0,2.67,1298.1,193.65,7089.53,15,30175.5,3213.0,2.48,1563.4,129.1,4726.35,15
78,3,1,1,2750.0,610.0,357.5,130,916.66,6,1300,3213.0,44.5,2.48,1563.4,129.1,4726.35,15,1755.0,9048.0,1766.35,20117.0,2272.0,1.72,1179.5,64.55,2363.18,15,1755.0,10058.5,1627.0,1.74,1217.5,285.8,6489.1,15,1755.0,39066.0,1580.0,1.15,1149.5,214.35,4866.83,15,29299.5,2628.0,1.52,1284.5,142.9,3244.55,15
81,3,1,2,2820.0,620.0,310.2,110,536.64,6,1300,6796.0,62.6,3.72,4730.8,186.0,7874.4,14,7930.66,8004.0,4756.68,21855.0,6713.0,5.65,3878.4,93.0,3937.2,14,7924.48,10927.5,6713.0,6.11,3485.8,239.5,12456.6,15,1755.0,42587.0,4986.0,3.94,3663.5,179.63,9342.45,15,31940.25,6788.0,5.41,3755.8,119.75,6228.3,15
84,1,3,11,870.0,230.0,174.0,200,481.91,6,1300,3152.0,106.0,3.15,3526.1,208.8,17584.3,15,8842.18,8864.0,12113.01,45966.0,2700.0,2.65,4386.9,156.6,13188.23,15,8776.71,34474.5,3561.0,2.76,3819.0,104.4,8792.15,15,8699.73,22983.0,3157.0,3.05,3896.7,52.2,4396.08,15,11491.5,3678.0,3.25,2790.6,334.8,14488.6,15
83,1,4,6,760.0,200.0,174.8,230,786.46,11,810,3678.0,86.2,3.25,2790.6,334.8,14488.6,15,8364.78,8393.0,11379.37,44835.0,2734.0,2.44,3157.3,251.1,10866.45,15,8343.6,33626.25,2247.0,2.04,4107.4,167.4,7244.3,15,8271.46,22417.5,2217.0,1.81,4521.3,83.7,3622.15,15,11208.75,3255.0,2.84,5146.3,372.0,15748.8,14
86,2,4,4,2740.0,610.0,767.2,280,542.42,6,1500,7045.0,160.0,4.72,8245.0,98.33,17361.2,11,9254.28,9306.0,9291.0,12393.0,5606.0,4.09,6622.5,432.4,73143.5,14,9231.76,48260.0,4079.0,3.44,8758.2,324.3,54857.63,14,9216.19,36195.0,3629.0,3.45,6232.8,216.2,36571.75,14,24130.0,3882.0,2.45,4586.1,108.1,18285.88,14
83,1,3,5,2190.0,490.0,503.7,230,786.46,6,1200,3678.0,86.2,3.25,2790.6,334.8,14488.6,15,8364.78,8393.0,11379.37,44835.0,2734.0,2.44,3157.3,251.1,10866.45,15,8343.6,33626.25,2247.0,2.04,4107.4,167.4,7244.3,15,8271.46,22417.5,2217.0,1.81,4521.3,83.7,3622.15,15,11208.75,3255.0,2.84,5146.3,372.0,15748.8,14
83,1,4,7,7010.0,1200.0,1472.1,210,718.07,7,1200,3678.0,86.2,3.25,2790.6,334.8,14488.6,15,8364.78,8393.0,11379.37,44835.0,2734.0,2.44,3157.3,251.1,10866.45,15,8343.6,33626.25,2247.0,2.04,4107.4,167.4,7244.3,15,8271.46,22417.5,2217.0,1.81,4521.3,83.7,3622.15,15,11208.75,3255.0,2.84,5146.3,372.0,15748.8,14
83,1,2,19,400.0,130.0,36.0,90,307.74,5,330,3678.0,86.2,3.25,2790.6,334.8,14488.6,15,8364.78,8393.0,11379.37,44835.0,2734.0,2.44,3157.3,251.1,10866.45,15,8343.6,33626.25,2247.0,2.04,4107.4,167.4,7244.3,15,8271.46,22417.5,2217.0,1.81,4521.3,83.7,3622.15,15,11208.75,3255.0,2.84,5146.3,372.0,15748.8,14
79,1,2,20,810.0,250.0,32.4,40,274.06,5,570,3670.0,46.3,3.25,1979.0,258.2,9452.7,15,1755.0,8420.0,2206.19,40234.0,2964.0,2.67,1298.1,193.65,7089.53,15,1755.0,30175.5,3213.0,2.48,1563.4,129.1,4726.35,15,1755.0,20117.0,2272.0,1.72,1179.5,64.55,2363.18,15,10058.5,1627.0,1.74,1217.5,285.8,6489.1,15
75,1,2,6,1310.0,340.0,52.4,40,534.3,5,470,2309.0,24.3,3.51,867.4,134.3,1872.6,15,1750.0,4063.0,1549.44,35763.0,2028.0,2.3,754.3,100.73,1404.45,15,1750.0,26822.25,2422.0,2.51,724.1,67.15,936.3,15,1750.0,17881.5,1785.0,2.06,544.5,33.58,468.15,15,8940.75,1892.0,2.46,504.5,107.3,989.3,15
87,1,3,14,720.0,190.0,165.6,230,354.48,6,1200,6790.0,203.8,6.46,10855.3,393.3,69444.8,11,9248.4,9380.0,10082.0,49572.0,6370.0,5.33,12930.0,294.98,52083.6,11,9329.64,37179.0,5909.0,6.88,8146.1,196.65,34722.4,11,9297.06,24786.0,7045.0,4.72,8245.0,98.33,17361.2,11,12393.0,5606.0,4.09,6622.5,432.4,73143.5,14
84,4,3,20,1900.0,430.0,285.0,150,364.41,7,640,2918.0,120.2,2.29,5136.1,224.55,32585.1,15,9063.61,9078.0,10304.2,35322.0,2264.0,2.47,4858.1,149.7,21723.4,15,9000.91,23548.0,2859.0,2.5,6622.6,74.85,10861.7,15,8920.04,11774.0,3152.0,3.15,3526.1,208.8,17584.3,15,45966.0,2700.0,2.65,4386.9,156.6,13188.23,15
83,2,3,17,1360.0,350.0,149.6,110,374.8,5,400,3157.0,92.8,3.05,3896.7,52.2,4396.08,15,8555.54,8585.0,12063.5,11491.5,3678.0,3.25,2790.6,334.8,14488.6,15,8364.78,44835.0,2734.0,2.44,3157.3,251.1,10866.45,15,8343.6,33626.25,2247.0,2.04,4107.4,167.4,7244.3,15,22417.5,2217.0,1.81,4521.3,83.7,3622.15,15
84,2,3,2,1350.0,350.0,270.0,200,576.74,5,1700,2859.0,111.4,2.5,6622.6,74.85,10861.7,15,8920.04,8938.0,12423.86,11774.0,3152.0,3.15,3526.1,208.8,17584.3,15,8842.18,45966.0,2700.0,2.65,4386.9,156.6,13188.23,15,8776.71,34474.5,3561.0,2.76,3819.0,104.4,8792.15,15,22983.0,3157.0,3.05,3896.7,52.2,4396.08,15
86,1,4,18,450.0,120.0,81.0,180,324.97,7,920,5606.0,149.1,4.09,6622.5,432.4,73143.5,14,9231.76,9286.0,9821.0,48260.0,4079.0,3.44,8758.2,324.3,54857.63,14,9216.19,36195.0,3629.0,3.45,6232.8,216.2,36571.75,14,9185.48,24130.0,3882.0,2.45,4586.1,108.1,18285.88,14,12065.0,3052.0,2.75,4602.1,299.4,43446.8,15
84,2,4,9,1680.0,370.0,285.6,170,490.23,6,800,2859.0,111.4,2.5,6622.6,74.85,10861.7,15,8920.04,8938.0,12423.86,11774.0,3152.0,3.15,3526.1,208.8,17584.3,15,8842.18,45966.0,2700.0,2.65,4386.9,156.6,13188.23,15,8776.71,34474.5,3561.0,2.76,3819.0,104.4,8792.15,15,22983.0,3157.0,3.05,3896.7,52.2,4396.08,15
83,1,1,8,1580.0,363.0,284.4,180,615.49,8,770,3678.0,86.2,3.25,2790.6,334.8,14488.6,15,8364.78,8393.0,11379.37,44835.0,2734.0,2.44,3157.3,251.1,10866.45,15,8343.6,33626.25,2247.0,2.04,4107.4,167.4,7244.3,15,8271.46,22417.5,2217.0,1.81,4521.3,83.7,3622.15,15,11208.75,3255.0,2.84,5146.3,372.0,15748.8,14
84,1,1,14,370.0,100.0,74.0,200,481.91,8,650,3152.0,106.0,3.15,3526.1,208.8,17584.3,15,8842.18,8864.0,12113.01,45966.0,2700.0,2.65,4386.9,156.6,13188.23,15,8776.71,34474.5,3561.0,2.76,3819.0,104.4,8792.15,15,8699.73,22983.0,3157.0,3.05,3896.7,52.2,4396.08,15,11491.5,3678.0,3.25,2790.6,334.8,14488.6,15
85,3,2,15,460.0,120.0,96.6,210,461.32,7,1300,3629.0,137.4,3.45,6232.8,216.2,36571.75,14,9185.48,9208.0,9501.3,24130.0,3882.0,2.45,4586.1,108.1,18285.88,14,9153.66,12065.0,3052.0,2.75,4602.1,299.4,43446.8,15,9114.22,47096.0,2918.0,2.29,5136.1,224.55,32585.1,15,35322.0,2264.0,2.47,4858.1,149.7,21723.4,15
78,1,2,7,2110.0,470.0,189.9,90,620.86,5,490,1627.0,41.0,1.74,1217.5,285.8,6489.1,15,1755.0,7773.0,1537.96,39066.0,1580.0,1.15,1149.5,214.35,4866.83,15,1755.0,29299.5,2628.0,1.52,1284.5,142.9,3244.55,15,1755.0,19533.0,2374.0,0.92,1191.1,71.45,1622.28,15,9766.5,2693.0,1.55,1529.0,175.7,3994.7,15
79,2,4,3,3280.0,720.0,459.2,140,805.03,6,1200,4072.0,47.8,3.39,2034.8,54.25,2611.4,15,1755.0,8418.0,2424.37,10351.75,3670.0,3.25,1979.0,258.2,9452.7,15,1755.0,40234.0,2964.0,2.67,1298.1,193.65,7089.53,15,1755.0,30175.5,3213.0,2.48,1563.4,129.1,4726.35,15,20117.0,2272.0,1.72,1179.5,64.55,2363.18,15
80,1,4,8,1540.0,340.0,154.0,100,592.57,7,710,7196.0,51.3,5.97,2562.3,217.0,10445.6,15,1755.0,8002.0,2978.26,41407.0,5275.0,4.3,2684.3,162.75,7834.2,15,1755.0,31055.25,4691.0,3.53,2103.5,108.5,5222.8,15,1755.0,20703.5,4072.0,3.39,2034.8,54.25,2611.4,15,10351.75,3670.0,3.25,1979.0,258.2,9452.7,15
75,1,4,1,5030.0,1540.0,251.5,50,667.88,3,600,2309.0,24.3,3.51,867.4,134.3,1872.6,15,1750.0,4063.0,1549.44,35763.0,2028.0,2.3,754.3,100.73,1404.45,15,1750.0,26822.25,2422.0,2.51,724.1,67.15,936.3,15,1750.0,17881.5,1785.0,2.06,544.5,33.58,468.15,15,8940.75,1892.0,2.46,504.5,107.3,989.3,15
83,3,2,13,520.0,140.0,78.0,150,466.12,7,1200,3561.0,98.2,2.76,3819.0,104.4,8792.15,15,8699.73,8735.0,13596.37,22983.0,3157.0,3.05,3896.7,52.2,4396.08,15,8555.54,11491.5,3678.0,3.25,2790.6,334.8,14488.6,15,8364.78,44835.0,2734.0,2.44,3157.3,251.1,10866.45,15,33626.25,2247.0,2.04,4107.4,167.4,7244.3,15
85,4,2,2,2710.0,600.0,867.2,320,637.72,6,2300,4079.0,143.4,3.44,8758.2,324.3,54857.63,14,9216.19,9244.0,10078.4,36195.0,3629.0,3.45,6232.8,216.2,36571.75,14,9185.48,24130.0,3882.0,2.45,4586.1,108.1,18285.88,14,9153.66,12065.0,3052.0,2.75,4602.1,299.4,43446.8,15,47096.0,2918.0,2.29,5136.1,224.55,32585.1,15
85,1,4,2,820.0,250.0,303.4,370,928.27,7,2400,3052.0,124.4,2.75,4602.1,299.4,43446.8,15,9114.22,9131.0,9459.4,47096.0,2918.0,2.29,5136.1,224.55,32585.1,15,9063.61,35322.0,2264.0,2.47,4858.1,149.7,21723.4,15,9000.91,23548.0,2859.0,2.5,6622.6,74.85,10861.7,15,11774.0,3152.0,3.15,3526.1,208.8,17584.3,15
85,2,4,19,2020.0,450.0,282.8,140,310.61,6,500,3882.0,130.5,2.45,4586.1,108.1,18285.88,14,9153.66,9168.0,9576.9,12065.0,3052.0,2.75,4602.1,299.4,43446.8,15,9114.22,47096.0,2918.0,2.29,5136.1,224.55,32585.1,15,9063.61,35322.0,2264.0,2.47,4858.1,149.7,21723.4,15,23548.0,2859.0,2.5,6622.6,74.85,10861.7,15
86,4,4,17,420.0,110.0,79.8,190,307.0,8,750,6370.0,190.3,5.33,12930.0,294.98,52083.6,11,9329.64,9396.0,9700.0,37179.0,5909.0,6.88,8146.1,196.65,34722.4,11,9297.06,24786.0,7045.0,4.72,8245.0,98.33,17361.2,11,9254.28,12393.0,5606.0,4.09,6622.5,432.4,73143.5,14,48260.0,4079.0,3.44,8758.2,324.3,54857.63,14
83,4,2,3,2030.0,450.0,365.4,180,565.58,6,1800,2700.0,103.0,2.65,4386.9,156.6,13188.23,15,8776.71,8799.0,13571.8,34474.5,3561.0,2.76,3819.0,104.4,8792.15,15,8699.73,22983.0,3157.0,3.05,3896.7,52.2,4396.08,15,8555.54,11491.5,3678.0,3.25,2790.6,334.8,14488.6,15,44835.0,2734.0,2.44,3157.3,251.1,10866.45,15
86,1,4,9,500.0,130.0,145.0,290,523.56,7,920,5606.0,149.1,4.09,6622.5,432.4,73143.5,14,9231.76,9286.0,9821.0,48260.0,4079.0,3.44,8758.2,324.3,54857.63,14,9216.19,36195.0,3629.0,3.45,6232.8,216.2,36571.75,14,9185.48,24130.0,3882.0,2.45,4586.1,108.1,18285.88,14,12065.0,3052.0,2.75,4602.1,299.4,43446.8,15
75,3,2,7,360.0,80.0,21.6,60,644.47,11,330,3302.0,29.5,3.56,1668.9,73.95,1441.4,15,1755.0,4252.0,2134.49,18409.0,2507.0,3.31,1163.3,36.98,720.7,15,1751.67,9204.5,2309.0,3.51,867.4,134.3,1872.6,15,1750.0,35763.0,2028.0,2.3,754.3,100.73,1404.45,15,26822.25,2422.0,2.51,724.1,67.15,936.3,15
78,3,2,14,470.0,120.0,32.9,70,493.59,7,380,3213.0,44.5,2.48,1563.4,129.1,4726.35,15,1755.0,9048.0,1766.35,20117.0,2272.0,1.72,1179.5,64.55,2363.18,15,1755.0,10058.5,1627.0,1.74,1217.5,285.8,6489.1,15,1755.0,39066.0,1580.0,1.15,1149.5,214.35,4866.83,15,29299.5,2628.0,1.52,1284.5,142.9,3244.55,15
85,1,3,4,1540.0,340.0,446.6,290,727.56,6,1500,3052.0,124.4,2.75,4602.1,299.4,43446.8,15,9114.22,9131.0,9459.4,47096.0,2918.0,2.29,5136.1,224.55,32585.1,15,9063.61,35322.0,2264.0,2.47,4858.1,149.7,21723.4,15,9000.91,23548.0,2859.0,2.5,6622.6,74.85,10861.7,15,11774.0,3152.0,3.15,3526.1,208.8,17584.3,15
85,1,1,8,1580.0,363.0,331.8,210,526.86,8,1200,3052.0,124.4,2.75,4602.1,299.4,43446.8,15,9114.22,9131.0,9459.4,47096.0,2918.0,2.29,5136.1,224.55,32585.1,15,9063.61,35322.0,2264.0,2.47,4858.1,149.7,21723.4,15,9000.91,23548.0,2859.0,2.5,6622.6,74.85,10861.7,15,11774.0,3152.0,3.15,3526.1,208.8,17584.3,15
80,1,1,2,690.0,160.0,89.7,130,770.35,8,990,7196.0,51.3,5.97,2562.3,217.0,10445.6,15,1755.0,8002.0,2978.26,41407.0,5275.0,4.3,2684.3,162.75,7834.2,15,1755.0,31055.25,4691.0,3.53,2103.5,108.5,5222.8,15,1755.0,20703.5,4072.0,3.39,2034.8,54.25,2611.4,15,10351.75,3670.0,3.25,1979.0,258.2,9452.7,15
82,3,1,14,580.0,150.0,75.4,130,531.45,6,870,2247.0,76.9,2.04,4107.4,167.4,7244.3,15,8271.46,8325.0,8993.0,22417.5,2217.0,1.81,4521.3,83.7,3622.15,15,8148.33,11208.75,3255.0,2.84,5146.3,372.0,15748.8,14,8002.21,43710.0,3713.0,3.06,5131.4,279.0,11811.6,14,32782.5,6796.0,3.72,4730.8,186.0,7874.4,14
86,1,2,20,1120.0,290.0,190.4,170,306.91,5,1600,5606.0,149.1,4.09,6622.5,432.4,73143.5,14,9231.76,9286.0,9821.0,48260.0,4079.0,3.44,8758.2,324.3,54857.63,14,9216.19,36195.0,3629.0,3.45,6232.8,216.2,36571.75,14,9185.48,24130.0,3882.0,2.45,4586.1,108.1,18285.88,14,12065.0,3052.0,2.75,4602.1,299.4,43446.8,15
79,3,4,12,960.0,250.0,67.2,70,417.09,5,350,4691.0,49.1,3.53,2103.5,108.5,5222.8,15,1755.0,8231.0,2556.96,20703.5,4072.0,3.39,2034.8,54.25,2611.4,15,1755.0,10351.75,3670.0,3.25,1979.0,258.2,9452.7,15,1755.0,40234.0,2964.0,2.67,1298.1,193.65,7089.53,15,30175.5,3213.0,2.48,1563.4,129.1,4726.35,15
76,1,4,8,470.0,120.0,14.1,30,579.23,7,330,3321.0,31.4,2.69,1430.8,147.9,2882.8,15,1755.0,4695.0,1936.75,36818.0,2898.0,2.68,1571.1,110.93,2162.1,15,1755.0,27613.5,3302.0,3.56,1668.9,73.95,1441.4,15,1755.0,18409.0,2507.0,3.31,1163.3,36.98,720.7,15,9204.5,2309.0,3.51,867.4,134.3,1872.6,15
81,1,4,7,1380.0,310.0,193.2,140,744.83,7,700,6713.0,56.2,6.11,3485.8,239.5,12456.6,15,1755.0,8003.0,3758.77,42587.0,4986.0,3.94,3663.5,179.63,9342.45,15,1755.0,31940.25,6788.0,5.41,3755.8,119.75,6228.3,15,1755.0,21293.5,5728.0,5.4,2931.4,59.88,3114.15,15,10646.75,7196.0,5.97,2562.3,217.0,10445.6,15
85,3,4,5,5280.0,1160.0,1584.0,300,659.02,5,1500,3629.0,137.4,3.45,6232.8,216.2,36571.75,14,9185.48,9208.0,9501.3,24130.0,3882.0,2.45,4586.1,108.1,18285.88,14,9153.66,12065.0,3052.0,2.75,4602.1,299.4,43446.8,15,9114.22,47096.0,2918.0,2.29,5136.1,224.55,32585.1,15,35322.0,2264.0,2.47,4858.1,149.7,21723.4,15
85,3,1,4,2050.0,700.0,492.0,240,527.22,10,2100,3629.0,137.4,3.45,6232.8,216.2,36571.75,14,9185.48,9208.0,9501.3,24130.0,3882.0,2.45,4586.1,108.1,18285.88,14,9153.66,12065.0,3052.0,2.75,4602.1,299.4,43446.8,15,9114.22,47096.0,2918.0,2.29,5136.1,224.55,32585.1,15,35322.0,2264.0,2.47,4858.1,149.7,21723.4,15
75,2,4,13,930.0,240.0,46.5,50,513.26,6,220,2507.0,26.9,3.31,1163.3,36.98,720.7,15,1751.67,4198.0,2000.42,9204.5,2309.0,3.51,867.4,134.3,1872.6,15,1750.0,35763.0,2028.0,2.3,754.3,100.73,1404.45,15,1750.0,26822.25,2422.0,2.51,724.1,67.15,936.3,15,17881.5,1785.0,2.06,544.5,33.58,468.15,15
86,2,3,1,3040.0,670.0,881.6,290,561.79,5,4900,7045.0,160.0,4.72,8245.0,98.33,17361.2,11,9254.28,9306.0,9291.0,12393.0,5606.0,4.09,6622.5,432.4,73143.5,14,9231.76,48260.0,4079.0,3.44,8758.2,324.3,54857.63,14,9216.19,36195.0,3629.0,3.45,6232.8,216.2,36571.75,14,24130.0,3882.0,2.45,4586.1,108.1,18285.88,14
83,1,1,12,380.0,100.0,60.8,160,547.1,8,650,3678.0,86.2,3.25,2790.6,334.8,14488.6,15,8364.78,8393.0,11379.37,44835.0,2734.0,2.44,3157.3,251.1,10866.45,15,8343.6,33626.25,2247.0,2.04,4107.4,167.4,7244.3,15,8271.46,22417.5,2217.0,1.81,4521.3,83.7,3622.15,15,11208.75,3255.0,2.84,5146.3,372.0,15748.8,14
79,2,2,8,1020.0,320.0,102.0,100,575.02,4,550,4072.0,47.8,3.39,2034.8,54.25,2611.4,15,1755.0,8418.0,2424.37,10351.75,3670.0,3.25,1979.0,258.2,9452.7,15,1755.0,40234.0,2964.0,2.67,1298.1,193.65,7089.53,15,1755.0,30175.5,3213.0,2.48,1563.4,129.1,4726.35,15,20117.0,2272.0,1.72,1179.5,64.55,2363.18,15
80,2,2,1,3420.0,880.0,547.2,160,890.64,4,2000,5728.0,52.4,5.4,2931.4,59.88,3114.15,15,1755.0,8013.0,3387.72,10646.75,7196.0,5.97,2562.3,217.0,10445.6,15,1755.0,41407.0,5275.0,4.3,2684.3,162.75,7834.2,15,1755.0,31055.25,4691.0,3.53,2103.5,108.5,5222.8,15,20703.5,4072.0,3.39,2034.8,54.25,2611.4,15
87,1,3,14,520.0,140.0,109.2,210,323.66,6,1000,6790.0,203.8,6.46,10855.3,393.3,69444.8,11,9248.4,9380.0,10082.0,49572.0,6370.0,5.33,12930.0,294.98,52083.6,11,9329.64,37179.0,5909.0,6.88,8146.1,196.65,34722.4,11,9297.06,24786.0,7045.0,4.72,8245.0,98.33,17361.2,11,12393.0,5606.0,4.09,6622.5,432.4,73143.5,14
76,4,1,5,2670.0,690.0,213.6,80,600.56,5,340,2790.0,35.7,1.28,1083.9,131.78,2996.03,15,1755.0,4718.0,1625.98,28449.75,4638.0,2.28,1861.2,87.85,1997.35,15,1755.0,18966.5,3840.0,2.32,2211.5,43.93,998.68,15,1755.0,9483.25,3321.0,2.69,1430.8,147.9,2882.8,15,36818.0,2898.0,2.68,1571.1,110.93,2162.1,15
79,2,4,4,1900.0,420.0,190.0,100,575.02,6,720,4072.0,47.8,3.39,2034.8,54.25,2611.4,15,1755.0,8418.0,2424.37,10351.75,3670.0,3.25,1979.0,258.2,9452.7,15,1755.0,40234.0,2964.0,2.67,1298.1,193.65,7089.53,15,1755.0,30175.5,3213.0,2.48,1563.4,129.1,4726.35,15,20117.0,2272.0,1.72,1179.5,64.55,2363.18,15
79,2,4,6,840.0,220.0,100.8,120,690.02,6,770,4072.0,47.8,3.39,2034.8,54.25,2611.4,15,1755.0,8418.0,2424.37,10351.75,3670.0,3.25,1979.0,258.2,9452.7,15,1755.0,40234.0,2964.0,2.67,1298.1,193.65,7089.53,15,1755.0,30175.5,3213.0,2.48,1563.4,129.1,4726.35,15,20117.0,2272.0,1.72,1179.5,64.55,2363.18,15
81,2,2,12,990.0,310.0,99.0,100,499.25,4,550,6713.0,59.1,5.65,3878.4,93.0,3937.2,14,7924.48,7994.0,4294.06,10927.5,6713.0,6.11,3485.8,239.5,12456.6,15,1755.0,42587.0,4986.0,3.94,3663.5,179.63,9342.45,15,1755.0,31940.25,6788.0,5.41,3755.8,119.75,6228.3,15,21293.5,5728.0,5.4,2931.4,59.88,3114.15,15
77,2,3,4,1560.0,400.0,171.6,110,878.55,5,420,2374.0,38.0,0.92,1191.1,71.45,1622.28,15,1755.0,5565.0,1601.79,9766.5,2693.0,1.55,1529.0,175.7,3994.7,15,1755.0,37933.0,2790.0,1.28,1083.9,131.78,2996.03,15,1755.0,28449.75,4638.0,2.28,1861.2,87.85,1997.35,15,18966.5,3840.0,2.32,2211.5,43.93,998.68,15
79,4,2,5,6740.0,1300.0,674.0,100,603.07,6,780,5275.0,50.9,4.3,2684.3,162.75,7834.2,15,1755.0,8102.0,2850.2,31055.25,4691.0,3.53,2103.5,108.5,5222.8,15,1755.0,20703.5,4072.0,3.39,2034.8,54.25,2611.4,15,1755.0,10351.75,3670.0,3.25,1979.0,258.2,9452.7,15,40234.0,2964.0,2.67,1298.1,193.65,7089.53,15
85,1,2,1,1450.0,370.0,406.0,280,702.48,5,3800,3052.0,124.4,2.75,4602.1,299.4,43446.8,15,9114.22,9131.0,9459.4,47096.0,2918.0,2.29,5136.1,224.55,32585.1,15,9063.61,35322.0,2264.0,2.47,4858.1,149.7,21723.4,15,9000.91,23548.0,2859.0,2.5,6622.6,74.85,10861.7,15,11774.0,3152.0,3.15,3526.1,208.8,17584.3,15
81,2,2,6,920.0,210.0,119.6,130,649.02,8,1300,6713.0,59.1,5.65,3878.4,93.0,3937.2,14,7924.48,7994.0,4294.06,10927.5,6713.0,6.11,3485.8,239.5,12456.6,15,1755.0,42587.0,4986.0,3.94,3663.5,179.63,9342.45,15,1755.0,31940.25,6788.0,5.41,3755.8,119.75,6228.3,15,21293.5,5728.0,5.4,2931.4,59.88,3114.15,15
87,1,2,1,2620.0,670.0,1231.4,470,724.38,5,3900,6790.0,203.8,6.46,10855.3,393.3,69444.8,11,9248.4,9380.0,10082.0,49572.0,6370.0,5.33,12930.0,294.98,52083.6,11,9329.64,37179.0,5909.0,6.88,8146.1,196.65,34722.4,11,9297.06,24786.0,7045.0,4.72,8245.0,98.33,17361.2,11,12393.0,5606.0,4.09,6622.5,432.4,73143.5,14
86,2,3,12,1810.0,470.0,488.7,270,523.05,5,860,7045.0,160.0,4.72,8245.0,98.33,17361.2,11,9254.28,9306.0,9291.0,12393.0,5606.0,4.09,6622.5,432.4,73143.5,14,9231.76,48260.0,4079.0,3.44,8758.2,324.3,54857.63,14,9216.19,36195.0,3629.0,3.45,6232.8,216.2,36571.75,14,24130.0,3882.0,2.45,4586.1,108.1,18285.88,14
87,1,4,4,3350.0,800.0,804.0,240,369.9,7,1300,6790.0,203.8,6.46,10855.3,393.3,69444.8,11,9248.4,9380.0,10082.0,49572.0,6370.0,5.33,12930.0,294.98,52083.6,11,9329.64,37179.0,5909.0,6.88,8146.1,196.65,34722.4,11,9297.06,24786.0,7045.0,4.72,8245.0,98.33,17361.2,11,12393.0,5606.0,4.09,6622.5,432.4,73143.5,14
85,2,3,5,3180.0,700.0,1049.4,330,732.16,5,1600,3882.0,130.5,2.45,4586.1,108.1,18285.88,14,9153.66,9168.0,9576.9,12065.0,3052.0,2.75,4602.1,299.4,43446.8,15,9114.22,47096.0,2918.0,2.29,5136.1,224.55,32585.1,15,9063.61,35322.0,2264.0,2.47,4858.1,149.7,21723.4,15,23548.0,2859.0,2.5,6622.6,74.85,10861.7,15
86,2,1,16,200.0,100.0,46.0,230,445.56,3,820,7045.0,160.0,4.72,8245.0,98.33,17361.2,11,9254.28,9306.0,9291.0,12393.0,5606.0,4.09,6622.5,432.4,73143.5,14,9231.76,48260.0,4079.0,3.44,8758.2,324.3,54857.63,14,9216.19,36195.0,3629.0,3.45,6232.8,216.2,36571.75,14,24130.0,3882.0,2.45,4586.1,108.1,18285.88,14
